did,vid,d_county,v_county,d_route,v_route,id,route_number,route_suffix,county,vhd_rank,annual_vhd_35,annual_vmt,year_
67,49412,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49413,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49414,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49415,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49416,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49417,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49418,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49419,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49420,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49421,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49422,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49423,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49424,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49425,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49426,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49427,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49428,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49429,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49430,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49431,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49432,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49433,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49434,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49435,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49436,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49437,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49438,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49439,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49440,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49441,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49442,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
67,49443,"Los Angeles",LA,2,2,67,2,,"Los Angeles",67,244383,419707050,2014
4,49675,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49676,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49677,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49678,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49679,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49680,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49681,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49682,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49683,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49684,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49685,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49686,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49687,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49688,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49689,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49690,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49691,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49692,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49693,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49694,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49695,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49696,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49697,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49698,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49699,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
4,49700,"Los Angeles",LA,5,5,4,5,,"Los Angeles",4,5044418,4085540237,2014
