"","Route.Number","Route.Suffix","County","Vehicle.Hours.of.Delay..VHD..Rank","Annual.Vehicle.Hours.of.Delay..VHD..at.35.miles.per.hour..mph.","Annual.Vehicle.Miles.Traveled..VMT.","year"
"1",405,"","Los Angeles",1,"7967442","4334754273","2014"
"2",101,"","Los Angeles",2,"6982987","3319139379","2014"
"3",10,"","Los Angeles",3,"6483199","3510670202","2014"
"4",5,"","Los Angeles",4,"5044418","4085540237","2014"
"5",110,"","Los Angeles",5,"3571110","2009237625","2014"
"6",210,"","Los Angeles",6,"3523563","3233553487","2014"
"7",5,"","Orange",7,"3374616","3981885937","2014"
"8",405,"","Orange",8,"2959654","2120364693","2014"
"9",5,"","San Diego",9,"2769065","4062504242","2014"
"10",605,"","Los Angeles",10,"2413984","2005853428","2014"
"11",60,"","Los Angeles",11,"2250157","2544446143","2014"
"12",91,"","Orange",12,"2106155","1961259582","2014"
"13",880,"","Alameda",13,"2105777","2016240641","2014"
"14",91,"","Riverside",14,"1993183","1515749536","2014"
"15",105,"","Los Angeles",15,"1935333","1230931033","2014"
"16",805,"","San Diego",16,"1793543","1457829573","2014"
"17",80,"","Alameda",17,"1737451","528804924","2014"
"18",101,"","San Mateo",18,"1679388","1568341182","2014"
"19",55,"","Orange",19,"1668078","1195796552","2014"
"20",101,"","Santa Clara",20,"1410455","2252560399","2014"
"21",580,"","Alameda",21,"1320438","2390738324","2014"
"22",57,"","Orange",22,"1267901","803136930","2014"
"23",57,"","Los Angeles",23,"1265524","725078194","2014"
"24",15,"","San Bernadino",24,"1171430","5673842148","2014"
"25",91,"","Los Angeles",25,"1146724","1184972091","2014"
"26",680,"","Alameda",26,"1120212","924688368","2014"
"27",710,"","Los Angeles",27,"1097277","1226823922","2014"
"28",15,"","Riverside",28,"1082471","2471765119","2014"
"29",15,"","San Diego",29,"975107","2916956078","2014"
"30",101,"","Marin",30,"971577","1258114143","2014"
"31",134,"","Los Angeles",31,"893589","966574158","2014"
"32",101,"","San Francisco",32,"869229","424200449","2014"
"33",680,"","Contra Costa",33,"812524","1264396519","2014"
"34",280,"","Santa Clara",34,"805215","969588073","2014"
"35",170,"","Los Angeles",35,"787392","448853389","2014"
"36",101,"","Ventura",36,"737214","1215503159","2014"
"37",80,"","San Francisco",37,"690180","381968538","2014"
"38",22,"","Orange",38,"654233","814724680","2014"
"39",101,"","Sonoma",39,"621655","669295672","2014"
"40",51,"","Sacramento",40,"613525","446944095","2014"
"41",78,"","San Diego",41,"606312","780427639","2014"
"42",85,"","Santa Clara",42,"602946","674762963","2014"
"43",80,"","Solano",43,"556506","1901589157","2014"
"44",80,"","Contra Costa",44,"552867","673093744","2014"
"45",680,"","Santa Clara",45,"550139","415785963","2014"
"46",50,"","Sacramento",46,"497628","1334886657","2014"
